Sample	Species	E-value
SRR27013147	Listeria monocytogenes	0.0
SRR27013245	Brucella anthropi	0.0
SRR27013246	Listeria monocytogenes	0.0
SRR27013247	Listeria monocytogenes	0.0
SRR27013248	Listeria monocytogenes	0.0
SRR27013249	Listeria monocytogenes	0.0
SRR27013250	Listeria monocytogenes	0.0
SRR27013251	Listeria monocytogenes	0.0
SRR27013252	Listeria monocytogenes	0.0
SRR27013253	Listeria monocytogenes	0.0
SRR27013254	Listeria monocytogenes	0.0
SRR27013255	Listeria monocytogenes	0.0
SRR27013256	Listeria monocytogenes	0.0
SRR27013257	Listeria monocytogenes	0.0
SRR27013258	Listeria monocytogenes	0.0
SRR27013259	Listeria monocytogenes	0.0
SRR27013260	Listeria monocytogenes	0.0
SRR27013261	Listeria monocytogenes	0.0
SRR27013262	Listeria monocytogenes	0.0
SRR27013263	Listeria monocytogenes	0.0
SRR27013264	Listeria monocytogenes	0.0
SRR27013265	Listeria monocytogenes	0.0
SRR27013266	Listeria monocytogenes	0.0
SRR27013267	Listeria monocytogenes	0.0
SRR27013268	Listeria monocytogenes	0.0
SRR27013269	Listeria monocytogenes	0.0
SRR27013270	Listeria monocytogenes	0.0
SRR27013271	Listeria monocytogenes	0.0
SRR27013272	Listeria monocytogenes	0.0
SRR27013273	Listeria monocytogenes	0.0
SRR27013274	Listeria monocytogenes	0.0
SRR27013275	Listeria monocytogenes	0.0
SRR27013276	Listeria monocytogenes	0.0
SRR27013277	Listeria monocytogenes	0.0
SRR27013278	Listeria monocytogenes	0.0
SRR27013279	Listeria monocytogenes	0.0
SRR27013280	Listeria monocytogenes	0.0
SRR27013281	Listeria monocytogenes	0.0
SRR27013282	Listeria monocytogenes	0.0
SRR27013283	Listeria monocytogenes	0.0
SRR27013284	Listeria monocytogenes	0.0
SRR27013285	Listeria monocytogenes	0.0
SRR27013286	Listeria monocytogenes	0.0
SRR27013287	Listeria monocytogenes	0.0
SRR27013288	Listeria monocytogenes	0.0
SRR27013289	Listeria monocytogenes	0.0
SRR27013290	Listeria monocytogenes	0.0
SRR27013291	Listeria monocytogenes	0.0
SRR27013292	Listeria monocytogenes	0.0
SRR27013293	Listeria monocytogenes	0.0
